Event	ID	Name			Wwise Object Path	Notes
	340271938	Walking			\Default Work Unit\Walking	
	810970808	Character_VO			\Default Work Unit\Character_VO	
	1925025166	Chickie_Die			\Default Work Unit\Chickie_Die	
	2990357609	Character_Die			\Default Work Unit\Character_Die	
	3333935137	Character_VO_Taunt			\Default Work Unit\Character_VO_Taunt	

Switch Group	ID	Name			Wwise Object Path	Notes
	436743010	Character			\Default Work Unit\Character	

Switch	ID	Name	Switch Group			Notes
	707051848	MCClown	Character			
	1419073108	Ckickie	Character			
	1997285300	King	Character			
	2448265983	CookieMonster	Character			
	3024550177	KFCColonel	Character			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	8800361	VO_ Cookie_04	Y:\Dropbox (Work)\Running projects\GGJ '17\Wwise\GGJ 01\.cache\Mac\SFX\VO_ Cookie_04_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\GAMEPLAY\PT\Character_VO\Cookie_VO\VO_ Cookie_04		1036744
	12354277	VO_ Cookie_03	Y:\Dropbox (Work)\Running projects\GGJ '17\Wwise\GGJ 01\.cache\Mac\SFX\VO_ Cookie_03_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\GAMEPLAY\PT\Character_VO\Cookie_VO\VO_ Cookie_03		865544
	43434096	Footstep_08	Y:\Dropbox (Work)\Running projects\GGJ '17\Wwise\GGJ 01\.cache\Mac\SFX\Footstep_08_B286AC60.wem		\Actor-Mixer Hierarchy\Default Work Unit\GAMEPLAY\PT\Footsteps\Footstep_08		38236
	52182187	VO_ Colonel_05	Y:\Dropbox (Work)\Running projects\GGJ '17\Wwise\GGJ 01\.cache\Mac\SFX\VO_ Colonel_05_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\GAMEPLAY\PT\Character_VO\Colonel_VO\VO_ Colonel_05		702884
	54886652	VO_ Ronald_09	Y:\Dropbox (Work)\Running projects\GGJ '17\Wwise\GGJ 01\.cache\Mac\SFX\VO_ Ronald_09_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\GAMEPLAY\PT\Character_VO\Ronald_VO\VO_ Ronald_09		510644
	61104781	Chickie_Die_03	Y:\Dropbox (Work)\Running projects\GGJ '17\Wwise\GGJ 01\.cache\Mac\SFX\Chickie_Die_03_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\GAMEPLAY\PT\Character_Die\Chickie_Die\Chickie_Die_03		521552
	112140920	VO_ Ronald_Death_01	Y:\Dropbox (Work)\Running projects\GGJ '17\Wwise\GGJ 01\.cache\Mac\SFX\VO_ Ronald_Death_01_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\GAMEPLAY\PT\Character_Die\Ronald_Die\VO_ Ronald_Death_01		140144
	159152250	Footstep_03	Y:\Dropbox (Work)\Running projects\GGJ '17\Wwise\GGJ 01\.cache\Mac\SFX\Footstep_03_89FA1469.wem		\Actor-Mixer Hierarchy\Default Work Unit\GAMEPLAY\PT\Footsteps\Footstep_03		48084
	164416515	VO_ Colonel_Death_01	Y:\Dropbox (Work)\Running projects\GGJ '17\Wwise\GGJ 01\.cache\Mac\SFX\VO_ Colonel_Death_01_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\GAMEPLAY\PT\Character_Die\Colonel_Die\VO_ Colonel_Death_01		340724
	178222950	Chickie_Die_06	Y:\Dropbox (Work)\Running projects\GGJ '17\Wwise\GGJ 01\.cache\Mac\SFX\Chickie_Die_06_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\GAMEPLAY\PT\Character_Die\Chickie_Die\Chickie_Die_06		521552
