Event	ID	Name			Wwise Object Path	Notes
	170707952	Chickie_Cluck			\Default Work Unit\Chickie_Cluck	
	850200368	Chickie_Attack			\Default Work Unit\Chickie_Attack	
	3045187071	Chickie_Cluck_Stop			\Default Work Unit\Chickie_Cluck_Stop	
	3863523225	Chickie_Spawn			\Default Work Unit\Chickie_Spawn	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	56755298	Chickie_Cluck_loop_01	Y:\Dropbox (Work)\Running projects\GGJ '17\Wwise\GGJ 01\.cache\Windows\SFX\Chickie_Cluck_loop_01_4B8CC0C5.wem		\Actor-Mixer Hierarchy\Default Work Unit\GAMEPLAY\CHICKIE\Chickie_Cluck\Chickie_Cluck_loop_01		3142992
	59086708	Chickie_Spawn_09	Y:\Dropbox (Work)\Running projects\GGJ '17\Wwise\GGJ 01\.cache\Windows\SFX\Chickie_Spawn_09_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\GAMEPLAY\CHICKIE\Chickie_Spawn\Chickie_Spawn_09		521552
	79695686	Chickie_Spawn_01	Y:\Dropbox (Work)\Running projects\GGJ '17\Wwise\GGJ 01\.cache\Windows\SFX\Chickie_Spawn_01_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\GAMEPLAY\CHICKIE\Chickie_Spawn\Chickie_Spawn_01		521552
	188916780	Chickie_Attack_04	Y:\Dropbox (Work)\Running projects\GGJ '17\Wwise\GGJ 01\.cache\Windows\SFX\Chickie_Attack_04_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\GAMEPLAY\CHICKIE\Chickie_Attack\Chickie_Attack_04		259408
	218924593	Chickie_Spawn_06	Y:\Dropbox (Work)\Running projects\GGJ '17\Wwise\GGJ 01\.cache\Windows\SFX\Chickie_Spawn_06_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\GAMEPLAY\CHICKIE\Chickie_Spawn\Chickie_Spawn_06		521552
	229440466	Chickie_Spawn_05	Y:\Dropbox (Work)\Running projects\GGJ '17\Wwise\GGJ 01\.cache\Windows\SFX\Chickie_Spawn_05_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\GAMEPLAY\CHICKIE\Chickie_Spawn\Chickie_Spawn_05		521552
	282393961	Chickie_Cluck_loop_07	Y:\Dropbox (Work)\Running projects\GGJ '17\Wwise\GGJ 01\.cache\Windows\SFX\Chickie_Cluck_loop_07_4B8CC0C5.wem		\Actor-Mixer Hierarchy\Default Work Unit\GAMEPLAY\CHICKIE\Chickie_Cluck\Chickie_Cluck_loop_07		3142992
	325653129	Chickie_Spawn_07	Y:\Dropbox (Work)\Running projects\GGJ '17\Wwise\GGJ 01\.cache\Windows\SFX\Chickie_Spawn_07_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\GAMEPLAY\CHICKIE\Chickie_Spawn\Chickie_Spawn_07		521552
	373465164	Chickie_Cluck_loop_06	Y:\Dropbox (Work)\Running projects\GGJ '17\Wwise\GGJ 01\.cache\Windows\SFX\Chickie_Cluck_loop_06_4B8CC0C5.wem		\Actor-Mixer Hierarchy\Default Work Unit\GAMEPLAY\CHICKIE\Chickie_Cluck\Chickie_Cluck_loop_06		3142992
	377722599	Chickie_Spawn_03	Y:\Dropbox (Work)\Running projects\GGJ '17\Wwise\GGJ 01\.cache\Windows\SFX\Chickie_Spawn_03_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\GAMEPLAY\CHICKIE\Chickie_Spawn\Chickie_Spawn_03		521552
